Accession	Virus Pangolin Classification	Geographic Location	Isolate Collection date	Host Name	Length	Completeness	Release date
OZ309659.1	XFG.3.15	United Kingdom:Scotland	2025-08-13	Homo sapiens	29847	COMPLETE	2025-09-02T00:00:00Z
PX425471.1	BA.1.1	USA: Wisconsin, COLUMBIA County	2022-01-12	Homo sapiens	29732	COMPLETE	2025-09-26T00:00:00Z
OL467978.1	B.1.2	USA: Ada, ID	2020-10-01	Homo sapiens	29831	COMPLETE	2021-11-15T00:00:00Z
OL601950.1	B.1.525	Mali: Bamako	2021-04-04	Homo sapiens	29708	COMPLETE	2021-11-22T00:00:00Z
OV004849.1	AY.4	United Kingdom:England	2021-10-13	Homo sapiens	29890	COMPLETE	2021-11-21T00:00:00Z
OV035360.1	AY.60	Slovakia	2021-10-11	Homo sapiens	29890	COMPLETE	2021-11-23T00:00:00Z
OV086958.1	AY.4	United Kingdom:England	2021-10-27	Homo sapiens	29890	COMPLETE	2021-11-26T00:00:00Z
OQ157441.1	BQ.1.1	USA: California	2022-12-19	Homo sapiens	29806	COMPLETE	2023-01-03T00:00:00Z
OQ183468.1	BA.5.2	USA: Ohio	2022-11-28	Homo sapiens	29841	COMPLETE	2023-01-05T00:00:00Z
OQ197062.1	BQ.1.1.4	USA: New Jersey	2022-12-19	Homo sapiens	29715	COMPLETE	2023-01-09T00:00:00Z
OQ236804.1	BQ.1.3.2	USA: California	2022-12-26	Homo sapiens	29842	COMPLETE	2023-01-12T00:00:00Z
OQ257577.1	XBB.2	USA: Washington	2022-12-27	Homo sapiens	29687	COMPLETE	2023-01-17T00:00:00Z
OQ294329.1	BQ.1.1	USA: Kentucky	2023-01-05	Homo sapiens	29721	COMPLETE	2023-01-20T00:00:00Z
OQ317863.1	BQ.1.1	USA: Arkansas	2022-12-21	Homo sapiens	29790	COMPLETE	2023-01-24T00:00:00Z
OQ343874.2	BQ.1.1.3	USA	2022-12-17	Homo sapiens	29744	COMPLETE	2023-01-27T00:00:00Z
OZ184244.1	MC.16	United Kingdom:Scotland	2024-08-27	Homo sapiens	29845	COMPLETE	2024-09-24T00:00:00Z
PQ333460.1	MC.6	USA: New Jersey	2024-08-29	Homo sapiens	29690	COMPLETE	2024-09-17T00:00:00Z
OZ224554.1	KP.3.1.1	United Kingdom:Wales	2025-01-29	Homo sapiens	29844	COMPLETE	2025-02-18T00:00:00Z
PX450200.1	XFG.3.4.2	USA: California	2025-07-28	Homo sapiens	29791	COMPLETE	2025-10-07T00:00:00Z
BS013490.1	BA.2.3.1	Japan:Shiga	2022-06-08	Homo sapiens	29448	COMPLETE	2024-07-03T00:00:00Z
OZ081039.1	MC.10	United Kingdom:England	2024-06-11	Homo sapiens	29847	COMPLETE	2024-07-10T00:00:00Z
